STATION_CODE,DATETIME,global_radiation,precipitation,relative_humidity,snow_level,temperature,wind_direction,wind_gust,wind_speed,UNIQUE_IDENTIFIER
T0010,2024-01-24T01:45:00+01,0.0,0.0,79.0,,-0.1,234.0,1.3,0.5,243_daily_weather
T0010,2024-01-24T02:00:00+01,0.0,0.0,81.0,,-0.2,358.0,0.7,0.5,244_daily_weather
T0010,2024-01-24T02:15:00+01,0.0,0.0,80.0,,0.1,208.0,1.4,0.7,245_daily_weather
T0010,2024-01-24T02:30:00+01,0.0,0.0,82.0,,-0.1,0.0,1.2,0.9,246_daily_weather
T0010,2024-01-24T02:45:00+01,0.0,0.0,80.0,,-0.1,359.0,1.3,0.8,247_daily_weather
T0010,2024-01-24T03:00:00+01,0.0,0.0,80.0,,-0.2,30.0,1.0,0.5,248_daily_weather
T0010,2024-01-24T03:15:00+01,0.0,0.0,80.0,,-0.4,32.0,1.1,0.4,249_daily_weather
T0010,2024-01-24T03:30:00+01,0.0,0.0,80.0,,-0.5,322.0,0.6,0.3,250_daily_weather
T0010,2024-01-24T03:45:00+01,0.0,0.0,80.0,,-0.6,280.0,1.2,0.3,251_daily_weather
T0010,2024-01-24T04:00:00+01,0.0,0.0,81.0,,-0.7,332.0,1.1,0.6,252_daily_weather
T0010,2024-01-24T04:15:00+01,0.0,0.0,81.0,,-0.6,287.0,1.5,0.6,253_daily_weather
T0010,2024-01-24T04:30:00+01,0.0,0.0,80.0,,-0.4,350.0,1.4,1.0,254_daily_weather
T0010,2024-01-24T04:45:00+01,0.0,0.0,80.0,,-0.6,304.0,1.3,0.3,255_daily_weather
T0010,2024-01-24T05:00:00+01,0.0,0.0,82.0,,-0.8,338.0,1.6,0.8,256_daily_weather
T0010,2024-01-24T05:15:00+01,0.0,0.0,82.0,,-0.8,235.0,0.9,0.5,257_daily_weather
T0010,2024-01-24T05:30:00+01,0.0,0.0,83.0,,-0.9,303.0,1.5,0.8,258_daily_weather
T0010,2024-01-24T05:45:00+01,0.0,0.0,82.0,,-1.0,31.0,1.1,0.2,259_daily_weather
T0010,2024-01-24T06:00:00+01,0.0,0.0,83.0,,-1.4,280.0,1.1,0.4,260_daily_weather
T0010,2024-01-24T06:15:00+01,0.0,0.0,83.0,,-1.3,343.0,1.3,0.2,261_daily_weather
